EmployeeKey,WWIEmployeeID,Employee,PreferredName,IsSalesperson,Photo,ValidFrom,ValidTo,LineageKey
0,0,Unknown,N/A,false,,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,0
1,14,Lily Code,Lily,true,,2013-01-01T00:00:00.000Z,2013-01-01T08:00:00.000Z,3
2,4,Isabella Rupp,Isabella,false,,2013-01-01T00:00:00.000Z,2013-01-01T08:00:00.000Z,3
3,11,Ethan Onslow,Ethan,false,,2013-01-01T00:00:00.000Z,2013-01-04T08:00:00.000Z,3
4,7,Amy Trefl,Amy,true,,2013-01-01T00:00:00.000Z,2013-01-05T08:00:00.000Z,3
5,19,Jai Shand,Jai,false,,2013-01-01T00:00:00.000Z,2013-01-06T08:00:00.000Z,3
6,8,Anthony Grosse,Anthony,true,,2013-01-01T00:00:00.000Z,2013-01-09T08:00:00.000Z,3
7,15,Taj Shand,Taj,true,,2013-01-01T00:00:00.000Z,2013-01-11T08:00:00.000Z,3
8,13,Hudson Hollinworth,Hudson,true,,2013-01-01T00:00:00.000Z,2013-01-11T08:00:00.000Z,3
9,20,Jack Potter,Jack,true,,2013-01-01T00:00:00.000Z,2013-01-14T08:00:00.000Z,3
10,17,Piper Koch,Piper,false,,2013-01-01T00:00:00.000Z,2013-01-19T08:00:00.000Z,3
11,3,Hudson Onslow,Hudson,true,,2013-01-01T00:00:00.000Z,2013-01-30T08:00:00.000Z,3
12,6,Sophia Hinton,Sophia,true,,2013-01-01T00:00:00.000Z,2013-02-09T08:00:00.000Z,3
13,12,Henry Forlonge,Henry,false,,2013-01-01T00:00:00.000Z,2013-02-11T08:00:00.000Z,3
14,10,Stella Rosenhain,Stella,false,,2013-01-01T00:00:00.000Z,2013-02-11T08:00:00.000Z,3
15,2,Kayla Woodcock,Kayla,true,,2013-01-01T00:00:00.000Z,2013-03-15T08:00:00.000Z,3
16,18,Katie Darwin,Katie,false,,2013-01-01T00:00:00.000Z,2013-08-22T08:00:00.000Z,3
17,9,Alica Fatnowna,Alica,false,,2013-01-01T00:00:00.000Z,2013-11-16T08:00:00.000Z,3
18,5,Eva Muirden,Eva,false,,2013-01-01T00:00:00.000Z,2016-05-31T23:13:00.000Z,3
19,16,Archer Lamble,Archer,true,,2013-01-01T00:00:00.000Z,2016-05-31T23:13:00.000Z,3
20,4,Isabella Rupp,Isabella,false,,2013-01-01T08:00:00.000Z,2013-03-17T08:00:00.000Z,3
21,14,Lily Code,Lily,true,,2013-01-01T08:00:00.000Z,2013-01-19T08:00:00.000Z,3
22,11,Ethan Onslow,Ethan,false,,2013-01-04T08:00:00.000Z,2013-01-21T08:00:00.000Z,3
23,7,Amy Trefl,Amy,true,,2013-01-05T08:00:00.000Z,2013-01-22T08:00:00.000Z,3
24,19,Jai Shand,Jai,false,,2013-01-06T08:00:00.000Z,2013-01-21T08:00:00.000Z,3
25,8,Anthony Grosse,Anthony,true,,2013-01-09T08:00:00.000Z,2013-02-16T08:00:00.000Z,3
26,15,Taj Shand,Taj,true,,2013-01-11T08:00:00.000Z,2013-01-16T08:00:00.000Z,3
27,13,Hudson Hollinworth,Hudson,true,,2013-01-11T08:00:00.000Z,2013-01-17T08:00:00.000Z,3
28,20,Jack Potter,Jack,true,,2013-01-14T08:00:00.000Z,2013-01-31T08:00:00.000Z,3
29,15,Taj Shand,Taj,true,,2013-01-16T08:00:00.000Z,2013-01-22T08:00:00.000Z,3
30,13,Hudson Hollinworth,Hudson,true,,2013-01-17T08:00:00.000Z,2013-02-08T08:00:00.000Z,3
31,14,Lily Code,Lily,true,,2013-01-19T08:00:00.000Z,2013-02-14T08:00:00.000Z,3
32,17,Piper Koch,Piper,false,,2013-01-19T08:00:00.000Z,2013-03-31T08:00:00.000Z,3
33,19,Jai Shand,Jai,false,,2013-01-21T08:00:00.000Z,2013-02-14T08:00:00.000Z,3
34,11,Ethan Onslow,Ethan,false,,2013-01-21T08:00:00.000Z,2013-01-26T08:00:00.000Z,3
35,7,Amy Trefl,Amy,true,,2013-01-22T08:00:00.000Z,2013-02-26T08:00:00.000Z,3
36,15,Taj Shand,Taj,true,,2013-01-22T08:00:00.000Z,2013-06-03T08:00:00.000Z,3
37,11,Ethan Onslow,Ethan,false,,2013-01-26T08:00:00.000Z,2013-05-03T08:00:00.000Z,3
38,3,Hudson Onslow,Hudson,true,,2013-01-30T08:00:00.000Z,2013-02-20T08:00:00.000Z,3
39,20,Jack Potter,Jack,true,,2013-01-31T08:00:00.000Z,2014-01-28T08:00:00.000Z,3
40,13,Hudson Hollinworth,Hudson,true,,2013-02-08T08:00:00.000Z,2013-05-05T08:00:00.000Z,3
41,6,Sophia Hinton,Sophia,true,,2013-02-09T08:00:00.000Z,2013-03-09T08:00:00.000Z,3
42,12,Henry Forlonge,Henry,false,,2013-02-11T08:00:00.000Z,2013-05-19T08:00:00.000Z,3
43,10,Stella Rosenhain,Stella,false,,2013-02-11T08:00:00.000Z,2013-04-26T08:00:00.000Z,3
44,19,Jai Shand,Jai,false,,2013-02-14T08:00:00.000Z,2013-03-11T08:00:00.000Z,3
45,14,Lily Code,Lily,true,,2013-02-14T08:00:00.000Z,2013-02-20T08:00:00.000Z,3
46,8,Anthony Grosse,Anthony,true,,2013-02-16T08:00:00.000Z,2013-02-18T08:00:00.000Z,3
47,8,Anthony Grosse,Anthony,true,,2013-02-18T08:00:00.000Z,2013-03-24T08:00:00.000Z,3
48,14,Lily Code,Lily,true,,2013-02-20T08:00:00.000Z,2013-03-22T08:00:00.000Z,3
49,3,Hudson Onslow,Hudson,true,,2013-02-20T08:00:00.000Z,2013-07-26T08:00:00.000Z,3
50,7,Amy Trefl,Amy,true,,2013-02-26T08:00:00.000Z,2013-03-07T08:00:00.000Z,3
51,7,Amy Trefl,Amy,true,,2013-03-07T08:00:00.000Z,2013-04-24T08:00:00.000Z,3
52,6,Sophia Hinton,Sophia,true,,2013-03-09T08:00:00.000Z,2013-05-18T08:00:00.000Z,3
53,19,Jai Shand,Jai,false,,2013-03-11T08:00:00.000Z,2013-04-15T08:00:00.000Z,3
54,2,Kayla Woodcock,Kayla,true,,2013-03-15T08:00:00.000Z,2013-04-19T08:00:00.000Z,3
55,4,Isabella Rupp,Isabella,false,,2013-03-17T08:00:00.000Z,2013-10-23T08:00:00.000Z,3
56,14,Lily Code,Lily,true,,2013-03-22T08:00:00.000Z,2013-03-27T08:00:00.000Z,3
114,19,Jai Shand,Jai,false,,2014-05-15T08:00:00.000Z,2014-11-12T08:00:00.000Z,3
115,15,Taj Shand,Taj,true,,2014-05-16T08:00:00.000Z,2014-06-11T08:00:00.000Z,3
116,2,Kayla Woodcock,Kayla,true,,2014-05-31T08:00:00.000Z,2015-01-15T08:00:00.000Z,3
117,18,Katie Darwin,Katie,false,,2014-06-10T08:00:00.000Z,2014-09-16T08:00:00.000Z,3
118,15,Taj Shand,Taj,true,,2014-06-11T08:00:00.000Z,2014-11-07T08:00:00.000Z,3
119,8,Anthony Grosse,Anthony,true,,2014-07-08T08:00:00.000Z,2015-09-12T08:00:00.000Z,3
120,10,Stella Rosenhain,Stella,false,,2014-07-18T08:00:00.000Z,2014-08-20T08:00:00.000Z,3
121,9,Alica Fatnowna,Alica,false,,2014-07-19T08:00:00.000Z,2014-10-27T08:00:00.000Z,3
122,14,Lily Code,Lily,true,,2014-07-22T08:00:00.000Z,2014-10-04T08:00:00.000Z,3
123,10,Stella Rosenhain,Stella,false,,2014-08-20T08:00:00.000Z,2016-04-02T08:00:00.000Z,3
124,18,Katie Darwin,Katie,false,,2014-09-16T08:00:00.000Z,2016-05-31T23:13:00.000Z,3
125,4,Isabella Rupp,Isabella,false,,2014-09-16T08:00:00.000Z,2014-11-14T08:00:00.000Z,3
126,14,Lily Code,Lily,true,,2014-10-04T08:00:00.000Z,2014-12-12T08:00:00.000Z,3
127,6,Sophia Hinton,Sophia,true,,2014-10-04T08:00:00.000Z,2015-06-12T08:00:00.000Z,3
128,9,Alica Fatnowna,Alica,false,,2014-10-27T08:00:00.000Z,2014-11-26T08:00:00.000Z,3
129,15,Taj Shand,Taj,true,,2014-11-07T08:00:00.000Z,2016-02-15T08:00:00.000Z,3
130,13,Hudson Hollinworth,Hudson,true,,2014-11-12T08:00:00.000Z,2014-11-16T08:00:00.000Z,3
131,19,Jai Shand,Jai,false,,2014-11-12T08:00:00.000Z,2014-12-08T08:00:00.000Z,3
132,12,Henry Forlonge,Henry,false,,2014-11-13T08:00:00.000Z,2016-05-31T23:13:00.000Z,3
133,4,Isabella Rupp,Isabella,false,,2014-11-14T08:00:00.000Z,2015-01-02T08:00:00.000Z,3
134,13,Hudson Hollinworth,Hudson,true,,2014-11-16T08:00:00.000Z,2015-05-25T08:00:00.000Z,3
135,9,Alica Fatnowna,Alica,false,,2014-11-26T08:00:00.000Z,2014-12-10T08:00:00.000Z,3
136,20,Jack Potter,Jack,true,,2014-12-03T08:00:00.000Z,2014-12-09T08:00:00.000Z,3
137,19,Jai Shand,Jai,false,,2014-12-08T08:00:00.000Z,2014-12-25T08:00:00.000Z,3
138,20,Jack Potter,Jack,true,,2014-12-09T08:00:00.000Z,2015-02-02T08:00:00.000Z,3
139,9,Alica Fatnowna,Alica,false,,2014-12-10T08:00:00.000Z,2016-03-13T08:00:00.000Z,3
140,14,Lily Code,Lily,true,,2014-12-12T08:00:00.000Z,2015-05-28T08:00:00.000Z,3
141,19,Jai Shand,Jai,false,,2014-12-25T08:00:00.000Z,2015-08-02T08:00:00.000Z,3
142,4,Isabella Rupp,Isabella,false,,2015-01-02T08:00:00.000Z,2016-05-31T23:13:00.000Z,3
143,2,Kayla Woodcock,Kayla,true,,2015-01-15T08:00:00.000Z,2016-03-25T08:00:00.000Z,3
144,20,Jack Potter,Jack,true,,2015-02-02T08:00:00.000Z,2015-04-22T08:00:00.000Z,3
145,3,Hudson Onslow,Hudson,true,,2015-02-06T08:00:00.000Z,2015-07-02T08:00:00.000Z,3
146,17,Piper Koch,Piper,false,,2015-03-03T08:00:00.000Z,2015-03-26T08:00:00.000Z,3
